Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 HWC,Physical Inactivity - Women - Rural,South Carolina,0,28.7,0,37,20.4,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Some College,South Carolina,26,21.7,0,25.2,18.2,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Suburban,South Carolina,0,19,0,23.8,14.3,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - Urban,South Carolina,0,20.5,0,26.9,14,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Physical Inactivity - Women - White,South Carolina,27,17.2,0.02,19.4,15,"CDC, Behavioral Risk Factor Surveillance System",2015-2016
2018,2018 HWC,Policy-Children,South Carolina,9,0.038,0.038,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Policy-HWC,South Carolina,14,0.058,0.058,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Policy-Infants,South Carolina,13,0.022,0.022,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Policy-Women,South Carolina,31,-0.001,-0.001,0,0,America's Health Rankings Composite Measure,2018
2018,2018 HWC,Postpartum Depression,South Carolina,,14.1,0.45,18.4,9.7,"CDC, Pregnancy Risk Assessment Monitoring System; California Department of Public Health, Maternal and Infant Health Assessment",2015
2018,2018 HWC,Postpartum Visit,South Carolina,,91.4,0.7,95.1,87.7,"CDC, Pregnancy Risk Assessment Monitoring System; California Department of Public Health, Maternal and Infant Health Assessment",2015
2018,2018 HWC,Prenatal Care Before 3rd Trimester,South Carolina,40,92.7,-0.68,,,"CDC, National Vital Statistics System",2015
2018,2018 HWC,Prenatal Care Before 3rd Trimester - American Indian / Alaska Native+B12,South Carolina,13,91.7,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Asian/Pacific Islanders,South Carolina,43,89.4,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Black,South Carolina,23,91.1,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - College Graduate,South Carolina,41,95.9,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - High School Graduate,South Carolina,37,91.4,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Hispanic,South Carolina,41,88.6,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Less than High School,South Carolina,32,87,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Mother Aged 15-19,South Carolina,24,90.2,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Mother Aged 20-24,South Carolina,39,91,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Mother Aged 25-29,South Carolina,38,93.2,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Mother Aged 30-34,South Carolina,39,94.3,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Mother Aged 35-39,South Carolina,41,93.7,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Mother Aged 40-44,South Carolina,34,92.7,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - Some College,South Carolina,41,93,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Prenatal Care Before 3rd Trimester - White,South Carolina,41,93.6,,,,"CDC, National Vital Statistics System",2016
2018,2018 HWC,Preterm Birth,South Carolina,46,11.1,1.27,,,"CDC, National Vital Statistics System",2015
2018,2018 HWC,Preterm Birth - American Indian/Alaska Native,South Carolina,,11.1,,,,AHR data,
2018,2018 HWC,Preterm Birth - Asian or Pacific Islander,South Carolina,,10.4,,,,AHR data,
2018,2018 HWC,Preterm Birth - Black,South Carolina,,14.6,,,,"CDC, National Vital Statistics System",2016
